localidad,02/01/2010,03/01/2010,04/01/2010,05/01/2010,06/01/2010,07/01/2010,08/01/2010,09/01/2010,10/01/2010,11/01/2010,12/01/2010,01/01/2011,02/01/2011,03/01/2011,04/01/2011,05/01/2011,06/01/2011,07/01/2011,08/01/2011,09/01/2011,10/01/2011,11/01/2011,12/01/2011,01/01/2012,02/01/2012,03/01/2012,04/01/2012,05/01/2012,06/01/2012,07/01/2012,08/01/2012,09/01/2012,10/01/2012,11/01/2012,12/01/2012,01/01/2013,02/01/2013,03/01/2013,04/01/2013,05/01/2013,06/01/2013,07/01/2013,08/01/2013,09/01/2013,10/01/2013,11/01/2013,12/01/2013,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,09/01/2017,10/01/2017,11/01/2017,12/01/2017,01/01/2018,02/01/2018,03/01/2018,04/01/2018,05/01/2018,06/01/2018,07/01/2018,08/01/2018,09/01/2018,10/01/2018,11/01/2018,12/01/2018,01/01/2019,02/01/2019,03/01/2019,04/01/2019,05/01/2019,06/01/2019,07/01/2019,08/01/2019,09/01/2019,10/01/2019,11/01/2019,12/01/2019,01/01/2020,02/01/2020,03/01/2020,04/01/2020,05/01/2020,06/01/2020,07/01/2020,08/01/2020,09/01/2020,10/01/2020,11/01/2020,12/01/2020,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,12/01/2021,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,01/01/2023,02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023
CBS Coco Beach School,,,,,,,,,,,,,,,,,,,,,,,14.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.67,,,,,,20.13,,,,,,,,,,13.53,,13.15,14.88,16.71,,,,,,,,,,,15.43,,,,,,,,,,,,9.9,,21.37,,,17.64,,,,,,,15,,,,,,,,,,,,,,,,,,,,11.11,11.43,12.67,10.62,,,,,,,,,,,,,15.93,18.27,,,,,,,,,
Flor de Itabo 1,,18.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.47,,,,,8.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flor de Itabo 2,,,,,,,,,,,,,,,,,,,,,,,,13.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.44,16.07,,23.05,,,,,,19.03,18.68,19.7,,,,,,,,8.93,,,,,,,,,,,,,,,11.61,,14.69,16.08,,16.15,16.32,,9.33,8.09,9.23,12.57,13.97,,16.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25,12.52,,,,,,,6.75,,,,,,,,,,,,,,
AyA Coco 5 ,14.36,15.89,15.45,15.16,12.96,8.35,5.59,4.59,6.15,4.75,6.7,8.03,9.34,11,12.03,11.12,8.68,7.31,,6.67,4.06,3.88,4.16,6.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08,16.68,,18.46,19.27,19.41,19.38,18.62,18.95,20.22,21.73,22.34,23.93,21.9,19.13,17.93,17.45,15.36,14.33,13.13,11.95,11.07,13.01,14.38,16.71,13.42,12.5,10.88,11.02,9.95,6.71,7.05,8.07,10.4,10.75,,14.15,14.22,14.84,14.84,15.07,,11.93,5.11,10.12,11.69,12.66,13.18,15.92,,,,,,,,,9.86,10.64,11.59,,,,8.55,,,,,,8.23,9.85,,,,12.41,,12.94,,9.17,8.54,10.25,11.07,11.8,,,,,,,,8.58,,8.18,9.34,10.64,12.26,,,,,,,,,
AyA Coco 6,,,,,,,,,,,,,,,,,,,,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52,,,,10.51,,14.67,15.23,16.4,,,8.07,9.02,13.77,15.55,,18.22,14.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.55,,,,,13.7,,,,,,,,,,,,,,,,,,,,
AyA Coco 1,11.38,12.25,12.64,12.52,10.82,6.81,4.66,4.04,4.24,4.3,4.82,6.5,7.77,9,8.03,10.44,9.7,8.31,7.75,6.74,4.19,4.52,5.32,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.06,13.75,13.75,12.57,14.25,12.79,14.27,13.76,12.8,14.52,14.67,14.46,14.66,14.88,13.9,13.07,12.82,11.22,9.97,9.09,8.38,7.99,8.73,9.7,10.49,10.27,9.31,8.27,7.4,5.62,4.12,4.27,4.92,,7.89,,10.12,10.81,10.72,10.92,11.08,,7.87,6.42,6.7,8.12,8.95,7.84,10.12,,,,,,,,,,7.27,7.71,8.13,8.69,,8.58,6.58,,,,,,,,,,,,,,,,,,8.05,8.84,9.37,,9,6.41,6.54,5.34,,,,,,,,,,,,,,,
AyA Coco 2,10.99,11.72,12.3,11.89,10.31,6.3,4.14,3.57,3.68,3.77,4.3,6.05,7.34,8.36,9.2,9.78,9.17,7.74,7.18,5.92,3.28,3.94,4.31,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.85,11.49,11.49,7.01,12.44,9.14,9.92,9.6,8.75,10.09,10.13,13.28,10.06,13.69,12.53,13.63,12.08,10.43,8.33,7.12,7.61,7.18,7.91,8.82,9.76,9.53,8.63,3.43,3.43,3.43,3.43,3.43,3.43,6.05,7.33,,9.63,10.3,10.38,10.47,10.77,,7.61,6.21,6.56,8.03,8.97,3.43,10.06,,,,,,,,,,5.5,7.76,,,,8.8,5.36,,,,2.56,4.54,5.99,6.91,7.44,8.12,8.25,8.69,,,,,,,7.91,8.97,9.27,9.7,9.03,9.52,9.64,5.17,5.38,,4.01,6.07,6.88,8.08,,,,,,,,,
AyA Coco 4,14.6,15.1,14.76,14.63,14.5,14.05,,,,,,14.8,14.75,14.85,13.12,14.86,16.33,14.62,15.64,14.71,13.35,13.6,14.21,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.78,14.48,14.48,14.63,14.72,15.11,21.98,21.18,20.13,21.56,21.83,22.84,23.38,23.68,22.68,21.3,21.81,19.01,19.92,20.21,17.74,16.46,19.04,19.38,19.68,18.7,18.82,18.15,20.58,20.91,26.06,15.03,14.42,,,,,,,,0,,0,0,0,"14,58","14,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residencial Las Palmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,,,,,,,,,3.06,,,,,,,,,,,,,,,,,,,,,,,,,
CN-289 Miguel Ángel Miranda Céspedes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN-260 Hotel Playa Vista Ocotal S,A, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,,,,,,,5.12,6.26,,,10.15,,,,,,,,7.85,,,,,,,,,,,,,,,,,,,,,,,
Ocotal Beach Resort,5.65,6.03,,,2.01,1.12,,1.2,,,,4.3,4.76,,5.23,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.98,7.87,5.5,5.74,,,,,3.75,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,,,,,,,,,,,,,,,,4.52,,,,,,,,,,,,,,,,,,,,,3.88,,,,,,,,,,,,,,,,,,,,,,,
Comité de Vecinos Ocotal,,,,,,1.43,1.33,1.29,,1.53,1.62,2.97,4.1,,6.65,7.74,8.6,,2.87,,,,1.65,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.67,10.4,11.23,11.19,11.2,,11.83,11.81,12.36,12.69,12.98,13.37,13.6,,11.03,9.72,6.91,,,,,,4.63,5.43,,5.67,3.96,,,,1.61,1.83,3.05,4.36,,6.41,7.83,8.12,8.98,,,,1.9,2.08,3.49,4.79,6.28,7.4,8.25,7.64,8,,8.63,3.01,1.9,1.99,3.34,,5.66,7.11,,8.36,8.72,,,1.84,,,2.39,,,,6.96,,8.27,9.08,4.94,,,,3.87,5.41,6.47,,8.46,,2.11,2.17,,2.33,2.23,2.78,2.74,,5.35,6.45,,,,,,,,
CN-342,,,,,,,3.32,3.2,,3.23,3.48,4.95,6.42,7.78,8.47,,,6.34,3.64,3.11,,,3.14,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.51,11.38,12.79,13.38,17.08,,,18.24,13.88,14.63,15.48,17.65,15.68,13.17,12.98,,7.23,5.31,3.44,3.02,3.38,4.68,6.46,7.61,,,,3.8,3.23,2.16,2.76,2.61,4.26,5.98,,8.58,9.29,,9.8,3.46,,2.76,2.97,,5.02,6.32,7.99,9.02,,9.25,,,9.5,,3.01,3.15,4.82,,7.5,8.88,,,,,,,,,3.69,5.42,6.84,7.8,8.86,8.34,9.98,,5.52,,,,5.6,6.97,,7.6,9.22,,,,,4.44,5.34,5.65,6.7,,,,,,,,,,,
Artesanal-Cabinas Marimar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artesanal-Dunia Sandí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Coco Beach,,7.23,,,,,,,,,,,,,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN-651 Añadas S,A - Ricardo Sanfilippo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,,,,,18.56,,10.63,,,,,,,,,,,,,,,,,19.89,,,,,,,,,,,,,,,,,,,,,,,
"CN-537 Gavander S,A, - Dennis Mailloux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artesanal-María Lurdes Quirce 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artesanal-María Lurdes Quirce 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artesanal-Plaza de Deportes El Coco ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89,3.07,3.18,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,1.89,,,,,,1.52,,2.67,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artesanal-Rosa Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-523 Villaje Point Properties Limitada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-552 Alturas de Carrizal Limitada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.39,,,,,0.81,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.85,,,,,,,,
Artesanal - ADICOCO,,,,,,,,,,,,,,3.14,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coco Bay Estates 1,,,,,,,,,,,8.9,11.48,11.96,15.28,,,15.4,7.63,9.7,6.24,,,,11.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.17,,,,,,13.18,11.51,,,18.84,,,,13.02,,9.67,6.54,7.03,7.34,5.81,,,10.77,,,,,,,,,7.39,,12.56,,14.86,12.62,,12.05,11.21,,,6.48,8.22,9.63,,,,,,,,14.38,4.28,6.07,6.2,,,11.54,15.99,17.31,20.32,4.72,4.66,4.83,3.6,3.15,5.45,10.04,12.26,14.48,24.01,24.88,24.68,15.43,19.03,8.95,4.87,5.34,,10.44,11.71,12.62,4.14,15.1,10.1,4.92,5.1,,8.04,5.13,5.69,11.53,,,12.2,,,,,,,,
Coco Bay Estates 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,4.71,,,,,8.99,10.13,11.35,11.6,,,,,,,,
Coco Bay Estates 3,,,,,5.18,2.14,2.03,,2.24,,2.92,3.37,3.82,,4.86,5.06,,,,,,2.7,2.92,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19,5.85,6.94,6.06,7.19,,6.71,6.68,,7.34,,,,,,,6.23,,3.81,3.86,3.18,3.22,,4.39,4.6,4.16,,,,2.71,2,2.24,2.93,,,,4.69,5.23,5.23,5.37,5.25,,,2.59,,3.46,3.46,4.77,,4.78,,,,,,2.61,2.71,,2.55,,4.71,4.84,4.51,,1.69,,,,,3.05,3.35,3.69,,,4.62,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
